Equipe,G1,XG1,XA1,AMT,Passes prog,Passes surface,Poss prog,Poss surface,Dribbles tentés,Ratio_drib,G2,XG2,XA2,TCL,Erreurs,Aerien win,Absences,Domination,Top_gb,Efficacite,Att_reg,Def_reg,Ppda,Xpts,g1_dead,g2_dead,Classement reel,Points reels,Groupe,Keep score,Back score,Ligue
Heidenheim,1.47,1.15,1.7,19.59,28.91,5.91,15.0,2.65,15.59,0.41,1.62,1.82,2.69,26.56,0.15,53.11,0.62,0.21,0.44,0.56,0.18,0.38,15.55,0.98,0.21,0.15,8,42,3,0.67,0.5,AL
Hoffenheim,1.94,1.58,2.44,23.91,39.97,8.59,15.82,4.24,15.94,0.39,1.94,1.77,2.81,25.71,0.35,49.16,0.44,0.44,0.5,0.59,0.47,0.41,15.15,1.25,0.09,0.12,7,46,3,0.58,0.4,AL
Inter,2.15,2.05,2.75,27.43,42.22,11.15,18.85,4.07,12.24,0.44,0.63,0.86,1.23,21.5,0.2,58.94,0.47,0.85,0.52,0.52,0.74,0.87,12.98,2.19,0.15,0.04,1,94,1,0.83,0.86,IT
Juventus,1.42,1.43,2.04,24.63,38.76,7.79,18.66,4.82,15.68,0.44,0.82,0.8,1.22,21.84,0.11,52.92,0.45,0.68,0.55,0.47,0.42,0.87,14.98,1.96,0.13,0.08,3,71,1,0.81,0.67,IT
Köln,0.82,1.16,1.72,22.94,31.94,6.38,18.18,4.15,15.41,0.48,1.76,1.9,2.73,27.12,0.26,50.25,1.62,0.24,0.41,0.32,0.15,0.32,14.71,0.96,0.09,0.18,17,27,4,0.25,0.38,AL
Las Palmas,0.87,0.87,1.36,18.61,42.0,7.13,15.18,3.05,17.89,0.47,1.24,1.49,2.05,24.82,0.37,43.96,0.33,0.32,0.53,0.45,0.11,0.5,9.75,0.98,0.05,0.11,16,40,4,0.6,0.32,ES
Lazio,1.24,1.24,1.7,20.15,40.35,8.02,18.11,3.72,15.93,0.45,1.07,1.17,1.63,23.04,0.15,47.4,0.59,0.52,0.46,0.35,0.3,0.76,13.7,1.52,0.04,0.11,7,61,3,0.69,0.19,IT
Le Havre,1.0,1.1,1.47,20.38,35.26,6.15,13.44,3.35,17.24,0.45,1.32,1.49,2.14,27.15,0.29,50.42,0.5,0.47,0.5,0.32,0.26,0.59,15.44,1.11,0.09,0.12,15,32,4,0.75,0.24,FR
Lecce,0.84,1.14,1.42,23.13,31.13,5.55,16.71,4.0,17.13,0.46,1.42,1.41,2.06,24.03,0.21,47.45,0.75,0.39,0.37,0.37,0.21,0.58,12.32,1.06,0.05,0.29,14,38,3,0.46,0.32,IT
Lens,1.26,1.47,2.15,24.05,45.33,9.69,17.52,3.31,14.31,0.44,1.21,1.4,1.82,25.36,0.48,52.71,0.57,0.55,0.6,0.38,0.36,0.5,10.94,1.65,0.1,0.1,7,51,3,0.68,0.33,FR
Lille,1.53,1.43,2.17,22.74,43.18,8.21,19.12,5.59,20.0,0.51,1.0,1.08,1.54,26.06,0.29,50.8,1.26,0.53,0.53,0.47,0.32,0.76,11.3,1.62,0.18,0.03,4,59,2,0.67,0.43,FR
Liverpool,2.4,2.31,3.16,35.0,54.19,13.19,23.6,7.33,20.25,0.45,1.1,1.2,1.62,25.29,0.54,56.01,0.6,0.79,0.54,0.56,0.77,0.75,8.03,2.02,0.15,0.15,3,82,1,0.91,0.7,UK
Lorient,1.26,1.09,1.61,18.85,38.03,7.38,18.59,3.44,20.32,0.5,1.94,1.59,2.32,25.74,0.41,51.16,0.99,0.24,0.5,0.47,0.21,0.41,16.38,0.93,0.03,0.15,17,29,4,0.55,0.2,FR
Luton,1.37,1.11,1.51,19.71,29.29,6.58,17.76,4.45,20.29,0.45,2.24,2.05,2.87,25.76,0.55,50.14,0.61,0.26,0.45,0.63,0.26,0.32,14.68,0.85,0.13,0.16,18,26,4,0.36,0.29,UK
Lyon,1.44,1.46,2.32,22.47,47.06,9.71,20.09,5.76,21.82,0.51,1.62,1.54,2.14,24.76,0.35,52.18,0.56,0.59,0.35,0.44,0.5,0.53,12.29,1.41,0.06,0.15,6,53,2,0.92,0.4,FR
Mainz 05,1.15,1.31,1.98,24.0,34.38,7.29,14.12,3.97,17.68,0.45,1.5,1.31,2.14,27.0,0.09,46.02,0.76,0.5,0.47,0.35,0.32,0.74,11.4,1.45,0.12,0.03,13,35,3,0.45,0.37,AL
Mallorca,0.87,1.07,1.59,19.32,30.89,6.18,13.11,2.84,13.45,0.5,1.16,1.12,1.62,27.66,0.26,53.07,0.86,0.45,0.45,0.37,0.24,0.63,11.82,1.28,0.24,0.11,15,40,4,0.46,0.35,ES
